term_kind,measurement_code,metadata_code,surface,source_id,collected_on,evidence_url,evidence_snippet,synonym_type,review_status,note
measurement,WQ-001,,itemBod,NIER_WQ_API,2026-08-05,https://www.data.go.kr/data/15081073/openapi.do,출력결과 명세표 항목명(영문) 열,column_name,verified,
measurement,WQ-002,,itemToc,NIER_WQ_API,2026-08-05,https://www.data.go.kr/data/15081073/openapi.do,출력결과 명세표 항목명(영문) 열,column_name,verified,
measurement,WQ-003,,itemCod,NIER_WQ_API,2026-08-05,https://www.data.go.kr/data/15081073/openapi.do,출력결과 명세표 항목명(영문) 열,column_name,verified,
measurement,WQ-004,,itemSs,NIER_WQ_API,2026-08-05,https://www.data.go.kr/data/15081073/openapi.do,출력결과 명세표 항목명(영문) 열,column_name,verified,
measurement,WQ-005,,itemTn,NIER_WQ_API,2026-08-05,https://www.data.go.kr/data/15081073/openapi.do,출력결과 명세표 항목명(영문) 열,column_name,verified,
measurement,WQ-006,,itemTp,NIER_WQ_API,2026-08-05,https://www.data.go.kr/data/15081073/openapi.do,출력결과 명세표 항목명(영문) 열,column_name,verified,
measurement,WQ-008,,itemPh,NIER_WQ_API,2026-08-05,https://www.data.go.kr/data/15081073/openapi.do,출력결과 명세표 항목명(영문) 열,column_name,verified,
measurement,WQ-009,,itemTemp,NIER_WQ_API,2026-08-05,https://www.data.go.kr/data/15081073/openapi.do,출력결과 명세표 항목명(영문) 열,column_name,verified,
measurement,WQ-010,,itemCol,NIER_WQ_API,2026-08-05,https://www.data.go.kr/data/15081073/openapi.do,출력결과 명세표 항목명(영문) 열,column_name,verified,
measurement,WQ-011,,itemTcoli,NIER_WQ_API,2026-08-05,https://www.data.go.kr/data/15081073/openapi.do,출력결과 명세표 항목명(영문) 열,column_name,verified,
measurement,WQ-013,,itemNhex,NIER_WQ_API,2026-08-05,https://www.data.go.kr/data/15081073/openapi.do,출력결과 명세표 항목명(영문) 열,column_name,verified,
